Location,Year,Dates,Theme,Notables,Visitors in millions,Type,No. countries represented,Latitude,Longitude,Thumbnail,Image Source,Image Link
"London, United Kingdom of Great Britain and Ireland",1851,04/1851-10/1851,Industry of all Nations,The Crystal Palace,6,World Expo,25,51.4549504,-0.0717997,"<img src=""https://github.com/taylorhixson/WF/blob/master/images_small/1851.pdf.png?raw=true"">","[Crystal Palace stereograph], 1851, © Special Collections Research Center, Henry Madden Library, California State University, Fresno. Accessed from World's Fairs: A Global History of Expositions",https://github.com/taylorhixson/WF/blob/master/images/1851.pdf.png?raw=true
"Paris, France",1867,04/1867-11/1867,"Agriculture, Industry and Arts",Champ de Mars,15,World Expo,42,48.8668281,2.3336311,"<img src=""https://github.com/taylorhixson/WF/blob/master/images_small/1867.pdf.png?raw=true"">","Exposition universelle de 1867, à Paris: plan d'en..., 1867, © Special Collections Research Center, Henry Madden Library, California State University, Fresno. Accessed from World's Fairs: A Global History of Expositions",https://github.com/taylorhixson/WF/blob/master/images/1867.pdf.png?raw=true
"Vienna, Austria-Hungary",1873,05/1873-10/1873,Culture and Education,Rotunde,7.25,World Expo,35,48.2081743,16.3738189,"<img src=""https://github.com/taylorhixson/WF/blob/master/images_small/1873.pdf.png?raw=true"">","Vienna Universal Exhibition, 1873: ground plan, [1873], © Special Collections Research Center, Henry Madden Library, California State University, Fresno. Accessed from World's Fairs: A Global History of Expositions",https://github.com/taylorhixson/WF/blob/master/images/1873.pdf.png?raw=true
"Philadelphia, United States",1876,05/1876-11/1876,"Arts, Manufactures and Products of the Soil and Mine","Centennial Arboretum, Telephone, Heinz Ketchup",10,World Expo,35,39.9830151,-75.2138397,"<img src=""https://github.com/taylorhixson/WF/blob/master/images_small/1876.pdf.png?raw=true"">","Map of Centennial grounds, Fairmount Park, Philade..., [1876], © Special Collections Research Center, Henry Madden Library, California State University, Fresno. Accessed from World's Fairs: A Global History of Expositions",https://github.com/taylorhixson/WF/blob/master/images/1876.pdf.png?raw=true
"Paris, France",1878,05/1878-11/1878,New Technologies,"Statue of Liberty, Telephone, Braille",16,World Expo,36,48.8660811,2.2951454,"<img src=""https://github.com/taylorhixson/WF/blob/master/images_small/1878.pdf.png?raw=true"">","General plan of the International Exposition, Pari..., 1878, © Special Collections Research Center, Henry Madden Library, California State University, Fresno. Accessed from World's Fairs: A Global History of Expositions",https://github.com/taylorhixson/WF/blob/master/images/1878.pdf.png?raw=true
"Paris, France",1889,05/1889-10/1889,French Revolution,"Eiffel Tower, Annie Oakley",32,World Expo,35,48.8660811,2.2951454,"<img src=""https://github.com/taylorhixson/WF/blob/master/images_small/1889.pdf.png?raw=true"">","General plan of the International Exposition, Pari..., 1878, © Special Collections Research Center, Henry Madden Library, California State University, Fresno. Accessed from World's Fairs: A Global History of Expositions",https://github.com/taylorhixson/WF/blob/master/images/1889.pdf.png?raw=true
"Chicago, United States",1893,05/1893-10/1893,Discovery of America,"Midway Plaisance, Fine Arts Building, Fluorescent lamp, Ferris wheel",27.5,World Expo,19,41.7796598,-87.6162816,"<img src=""https://github.com/taylorhixson/WF/blob/master/images_small/1893.pdf.png?raw=true"">","[World's fair album, 1893], [1893], © The Newberry Library. Accessed from World's Fairs: A Global History of Expositions",https://github.com/taylorhixson/WF/blob/master/images/1893.pdf.png?raw=true
"Brussels, Belgium",1897,05/1897-11/1897,Modern Life,,7.8,World Expo,27,50.8419778,4.3579037,"<img src=""https://github.com/taylorhixson/WF/blob/master/images_small/1897.pdf.png?raw=true"">","Bruxelles-exposition 1897: plan général, 16 Nov 1895, © Special Collections Research Center, Henry Madden Library, California State University, Fresno. Accessed from World's Fairs: A Global History of Expositions",https://github.com/taylorhixson/WF/blob/master/images/1897.pdf.png?raw=true
"Paris, France",1900,04/1900-11/1900,19th Century: an overview,"Motion Pictures, Escalator, Summer Olympics",50.8,World Expo,58,48.834566,2.347822,"<img src=""https://github.com/taylorhixson/WF/blob/master/images_small/1900.pdf.png?raw=true"">","[Maps and plans], [1900], © Special Collections Research Center, Henry Madden Library, California State University, Fresno. Accessed from World's Fairs: A Global History of Expositions",https://github.com/taylorhixson/WF/blob/master/images/1900.pdf.png?raw=true
"St. Louis, United States",1904,04/1904-12/1904,Louisiana Purchase,"Forest Park, Palace of Fine Art, Vulcan statue, In conjunction with Summer Olympics",19.69,World Expo,63,29.9579735,-90.0637281,"<img src=""https://github.com/taylorhixson/WF/blob/master/images_small/1904.pdf.png?raw=true"">","Ground plan of the Louisiana Purchase Exposition: ..., [1904], © Special Collections Research Center, Henry Madden Library, California State University, Fresno. Accessed from World's Fairs: A Global History of Expositions",https://github.com/taylorhixson/WF/blob/master/images/1904.pdf.png?raw=true
